KOI,T0 [BJD-2454900],Period [day],Avg. duration [hr],Depth [ppm],SNR,Scatter ratio
3787.010,100.346,141.734,1.565,6513.000,57.900,3.180
3791.020,178.993,220.130,20.869,1808.000,65.200,1.140
3801.010,307.795,288.313,5.200,12802.000,60.200,1.000
3811.010,240.249,290.141,1.962,4847.000,46.900,0.810
3823.010,225.048,202.118,4.482,2824.000,41.500,1.220
3889.010,232.377,280.502,35.014,613.000,37.500,0.900
3890.010,130.413,152.826,21.701,2217.000,42.700,1.510
4939.010,148.412,281.333,68.166,14170.000,121.100,0.910
5018.010,555.232,293.506,3.020,7204.000,35.700,0.940
5034.010,174.529,282.536,9.003,29902.000,803.900,2.880
5052.010,99.592,155.048,11.363,3038.000,41.300,1.360
5084.010,569.202,287.377,18.499,4839.000,38.400,1.040
5155.010,163.135,230.163,13.130,4031.000,33.400,1.070
5241.010,283.852,273.686,6.911,16549.000,161.300,1.330
5278.010,476.412,281.592,5.394,10312.000,52.300,0.920
5329.010,238.452,200.234,22.670,12253.000,131.800,1.430
5488.010,219.937,280.161,2.572,14205.000,50.100,2.210
5520.010,971.629,199.442,6.375,31877.000,436.500,1.160
5632.010,67.966,264.465,6.524,422.000,33.800,1.690
5711.010,416.032,78.429,3.256,90845.000,107.400,3.480
5792.010,479.570,215.750,5.942,8315.000,47.100,0.830
